Nama_Sekolah;Provinsi;Kota_Kabupaten;Kecamatan;NPSN;Status;Bentuk_Pendidikan;Status_Kepemilikan;SK_Pendirian_Sekolah;Tanggal_SK_Pendirian;SK_Izin_Operasional;Tanggal_SK_Izin_Operasional;Kebutuhan_Khusus_Dilayani;Nama_Bank;Cabang_KCP_Unit;Rekening_Atas_Nama;Status_BOS;Waktu_Penyelenggaraan;Sertifikasi_ISO;Sumber_Listrik;Daya_Listrik;Kecepatan_Internet;Kepsek;Operator;Akreditasi;Kurikulum;Waktu;Alamat;RT_RW;Dusun;Desa_Kelurahan;Kode_Pos;Lintang;Bujur;Guru_L;Guru_P;Guru_Total;Tendik_L;Tendik_P;Tendik_Total;PTK_L;PTK_P;PTK_Total;Peserta_Didik_L;Peserta_Didik_P;Peserta_Didik_Total;Ruang_Kelas;Ruang_Perpus;Ruang_Lab;Ruang_Pratik;Rombel;
SD NEGERI BALIREJO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403490;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;C,D1,K,Q;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDNEGERIBALIREJO/BOSNAS...;-;-;-;-;;;Daryanti Apriani;Rendi Ardianto;B;Kurikulum Merdeka;-;Jl. Balirejo no. 28;17-May;Balirejo;Muja Muju;55165;-7;110;5;6;11;1;3;4;6;9;15;78;62;140;6;1;2;0;6;
SD NEGERI GAMBIRAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403482;Negeri;SD;Pemerintah Daerah;22/04/2022;22/04/2022;422/2175;22/04/2022;Tidak ada;Bank BPD DIY;Senopati;SD NEGERI GAMBIRAN;-;-;-;-;;;Endang Widarti;;Tidak diisi;Kurikulum Merdeka;-;Jl. Perintis Kemerdekaan UH V/229 Yogyakarta;13 / 50;;Pandeyan;55161;-7;110;2;7;9;0;4;4;2;11;13;25;15;40;6;1;0;0;6;
SD NEGERI GIWANGAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403510;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;B,C,C1,D,E,F,H,K,Q;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIGIWANGAN/BOSNAS...;-;-;-;-;;;Nayu Maimunah;Eka Ratna Dewi;A;Kurikulum Merdeka;-;Jl. Tegalturi No 45;04-Nov;;Giwangan;55163;-7;110;7;14;21;4;3;7;11;17;28;188;142;330;12;1;2;0;12;
SD NEGERI GLAGAH;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403512;Negeri;SD;Pemerintah Daerah;420/5594B;28/12/1959;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIGLAGAH/BOSNAS...;-;-;-;-;;;Agung Nurcahyo;NAUVAL ABDILLAH;A;Kurikulum Merdeka;-;Jl.  Prof. Dr. Soepomo, SH, Janturan, Umbulharjo;17 / 18;Janturan;Muja Muju;55165;-7;110;8;19;27;7;3;10;15;22;37;230;257;487;18;1;1;0;18;
SD NEGERI GOLO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403513;Negeri;SD;Pemerintah Daerah;422/1070.35;07/02/2023;422/1070.35;07/02/2023;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIGOLO/BOSNAS...;-;-;-;-;;;Argono;Lailatul Kadariyah;Tidak diisi;Kurikulum Merdeka;-;Jl. Golo Uh 3/ 855;39 / 9;-;Tahunan;55167;-7;110;5;10;15;2;3;5;7;13;20;105;98;203;12;1;1;0;10;
SD NEGERI KOTAGEDE 3 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403435;Negeri;SD;Pemerintah Daerah;2858/UH/2007;24/03/2007;442/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDNEGERIKOTAGEDE3/BOSNAS...;-;-;-;-;;;Rumgayatri;RICO YUDA PERMANA PUTRA;Tidak diisi;Kurikulum Merdeka;-;Jl. Pramuka Sidikan Umbulharjo;0 / 0;Sidikan;Pandeyan;55161;-7;110;4;15;19;2;4;6;6;19;25;176;152;328;12;1;2;0;12;
SD NEGERI MENDUNGAN 1;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403426;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIMENDUNGAN1/BOSNAS...;-;-;-;-;;;Rumgayatri;HASNA ABIDAH ISMAWATI;A;Kurikulum Merdeka;-;Malangan UH VII/ 470;39 / 11;;Giwangan;55163;-7;110;5;5;10;1;2;3;6;7;13;48;30;78;6;1;2;0;6;
SD NEGERI MENDUNGAN 2;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403427;Negeri;SD;Pemerintah Daerah;No. 1 Kep 2006;01/02/1978;800/1446;07/02/2023;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDNEGERIMENDUNGAN2/BOSNAS...;-;-;-;-;;;Siti Supriyanti;Sumarna;A;Kurikulum Merdeka;-;Jl. Singaranu 1 Ngaglik;34 / 12;Ngaglik;Giwangan;55163;-7;110;4;6;10;2;3;5;6;9;15;87;74;161;6;1;2;0;6;
SD NEGERI PAKEL;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403469;Negeri;SD;Pemerintah Pusat;;01/07/1955;-;01/01/1910;C,K;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIPAKEL/BOSNAS...;-;-;-;-;;;Muryanto;Wahyu Nur Indah;A;Kurikulum Merdeka;-;Jl. Tritunggal No. 27;0 / 0;;SOROSUTAN;55162;-7;110;6;12;18;3;2;5;9;14;23;186;152;338;12;1;2;0;12;
SD NEGERI PANDEYAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403486;Negeri;SD;Pemerintah Daerah;175/Kep.2007;02/04/2002;175/KEP.2007;17/04/2017;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIPANDEYAN/BOSNAS...;-;-;-;-;;;Siti Hindariyati;Tria Heryani;A;Kurikulum Merdeka;-;Jl. Batikan No 3 Pandeyan Umbulharjo;46 / 2;PANDEYAN;Pandeyan;55161;-7;110;2;9;11;1;3;4;3;12;15;46;36;82;6;1;0;0;6;
SD NEGERI TAHUNAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403185;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BANK BPD;Senopati;SD N TAHUNAN;-;-;-;-;;;Siti Hindariyati;;A;Kurikulum Merdeka;-;Tahunan Umbulharjo Yogyakarta;14-Mar;Tahunan;Tahunan;55167;-7;110;6;14;20;1;3;4;7;17;24;161;164;325;12;1;2;0;12;
SD NEGERI WARUNGBOTO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403225;Negeri;SD;Pemerintah Daerah;422/1079.14;07/02/2023;422/1079.14;07/02/2023;Tidak ada;BPD;Senopati, Yogyakarta;SD Warungboto;-;-;-;-;;;Endang Widarti;Septi Rahmiyatun;A;Kurikulum Merdeka;-;Jl. Prof. Dr. Soepomo, SH.No. 100 Yogyakarta;31-Aug;;Warungboto;55164;-7;110;3;6;9;2;2;4;5;8;13;47;43;90;6;1;0;0;6;
SD NEGERI WIROSABAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403216;Negeri;SD;Pemerintah Daerah;422/2175;22/04/2022;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDNEGERIWIROSABAN/BOSNAS...;-;-;-;-;;;Muryanto;ELIS EPI SOPIA;B;Kurikulum Merdeka;-;Jl. Pangeran Wirosobo UH VI /609 Yogyakarta;0 / 0;Sorosutan;Sorosutan;55162;-7;110;5;6;11;3;1;4;8;7;15;58;45;103;6;1;0;0;6;
SD ISLAM TERPADU AL KHAIRAAT YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403410;Swasta;SD;Yayasan;1/YPDS/11/2002;02/02/2002;180/DIKDAS/4571;15/08/2012;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDITAL-KHAIRAAT/BOSNAS...;-;-;-;-;;;Rojikin;Ismi Ambarwati;A;Kurikulum Merdeka;-;Jl. Pramuka Gg. Radjiman Uh V/627 Yogyakarta;26-Jul;Sidikan;Pandeyan;55161;-7;110;5;12;17;3;5;8;8;17;25;196;170;366;8;1;1;0;14;
SD ISLAM TERPADU LUQMAN AL HAKIM;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403412;Swasta;SD;Yayasan;Akta Notaris Umar Syamhudi;01/01/1910;SK GUBERNUR NO.180/KPTS/1997;01/07/1997;Tidak ada;BPD DIY;cabang;SDIT LUKMAN AL HAKIM ( BOSNAS );-;-;-;-;;;Sumardi;Nur Ichsan;A;Kurikulum Merdeka;-;Jalan Timoho II Gang Delima No 2 Yogyakarta;03-Jan;;Muja Muju;55165;-7;110;13;24;37;7;3;10;20;27;47;287;248;535;24;1;3;0;21;
SD ISLAM TERPADU LUQMAN AL HAKIM 2 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;69988307;Swasta;SD;Yayasan;2147483647;17/09/2018;230010;17/03/2023;Tidak ada;BANK BPD DIY;SENOPATI;SDIT LUQMAN AL HAKIM 2;-;-;-;-;;;Nur Hidayati;Nasikin;Tidak diisi;Kurikulum Merdeka;-;Jl. Miliran No 15 Semaki Umbulharjo Yogyakarta;12-Apr;Miliran;Semaki;55166;-7;110;6;11;17;3;3;6;9;14;23;175;124;299;12;1;1;0;12;
SD ISLAMIYAH WARUNGBOTO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403409;Swasta;SD;Yayasan;017/YI/BP/VIII/1959;01/07/1962;422/4876.1;01/07/1962;C1,H,P;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDISLAMIYAHWARUNGBOTO/BOSNAS...;-;-;-;-;;;Pudji Wahyuni Buwono;SITI ROBIAH ERNI I;B;Kurikulum Merdeka;-;Jl. Prof. Dr. Soepomo Sh. 75 B;27-Jul;Warungboto;Warungboto;55164;-7;110;2;6;8;0;1;1;2;7;9;9;7;16;6;1;1;0;5;
SD IT BINA ANAK SHOLEH;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403411;Swasta;SD;Yayasan;67.R/DTK/UPT/TAHUN 2000;11/05/2000;106 TAHUN 2000;25/11/2000;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDISLAMTERPADUBINAANAKSHOLEH/BOSNAS...;-;-;-;-;;;Nur Khasanah;Kurnia Puji Astuti;A;Kurikulum Merdeka;-;Jl.Mendungwarih 155;31 / 11;;Giwangan;55163;-7;110;1;7;8;2;3;5;3;10;13;60;63;123;11;1;0;0;6;
SD MUHAMMADIYAH MILIRAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403340;Swasta;SD;Yayasan;668/III.4/D/2008;21/07/1982;668/III.4/D/2008;21/08/2012;Tidak ada;BPD;SENOPATI;SD MUHAMMADIYAH MILIRAN;-;-;-;-;;;Muhammad Syafii;Henry Cahyono;A;Kurikulum Merdeka;-;Miliran Uh II/ 304;04-Feb;Miliran;Muja Muju;55165;-7;110;3;6;9;2;0;2;5;6;11;54;59;113;6;1;0;0;6;
SD MUHAMMADIYAH NITIKAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;69830190;Swasta;SD;Yayasan;015/KEP/III.0/A/2014;07/03/2014;0001/UH/6448/32/2013;08/10/2013;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMUHAMMADIYAHNITIKANYOGYAKARTA/BOSNAS...;-;-;-;-;;;Saijan;Ayu Septiana;A;Kurikulum Merdeka;-;Kranon Nitikan UH 6 RT.45 RW. 11;0 / 0;NITIKAN;Sorosutan;55162;-7;110;12;23;35;7;7;14;19;30;49;355;334;689;24;1;1;0;24;
SD MUHAMMADIYAH PAKEL;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403323;Swasta;SD;Yayasan;2890/L-1841/DIY-66/77;01/09/1977;422/2175;22/04/2022;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDMUHAMMADIYAHPAKEL/BOSNAS...;-;-;-;-;;;Arif Rahman Hakim;ASTRI YUNI MARDIYANTI;A;Kurikulum Merdeka;-;Jalan Pakel Baru 40;28-Aug;Pakel Baru;Sorosutan;55162;-7;110;11;15;26;6;4;10;17;19;36;283;268;551;18;1;4;0;18;
SD MUHAMMADIYAH SOKONANDI 1;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403351;Swasta;SD;Yayasan;2886/L-1837/DIY-64/77;01/09/1977;2886/L-1837/DIY-64/77;01/09/1977;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SDMUHAMMADIYAHSUKONANDI1/BOSNAS...;-;-;-;-;;;Anis Rofiah;RIA ADERITA;Tidak diisi;Kurikulum Merdeka;-;Jalan Kapas No. 5A;0 / 0;Jl. Kapas No 5A Semaki Umbulharjo;Semaki;55166;-7;110;10;21;31;10;2;12;20;23;43;237;245;482;18;1;2;0;18;
SD MUHAMMADIYAH WARUNGBOTO;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20409865;Swasta;SD;Yayasan;188/DIKDAS/1438;11/04/2011;2/LPF-02/BH/P/04/20I7;04/05/2017;Tidak ada;Bank BPD;Cabang Senopati;SD Muhammadiyah Warungboto;-;-;-;-;;;Imam Syafi'i;;Tidak diisi;Kurikulum Merdeka;-;Jl. Veteran No. 108, Yogyakarta;34 / 8;Warungboto;Warungboto;55164;-7;110;4;4;8;2;1;3;6;5;11;88;76;164;6;1;1;0;6;
SD PIRI NITIKAN;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403356;Swasta;SD;Yayasan;300/F/PP/1984;20/04/1984;300/F/PP/1984;20/04/1984;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDPIRINITIKANYOGYAKARTA/BOSNAS...;-;-;-;-;;;Helsa Mariana Ningsih;SHINTA NOOR LATIFAH;B;Kurikulum Merdeka;-;Jalan Nitikan Baru UH VI/112 Yogyakarta;0 / 0;-;Sorosutan;55162;-7;110;1;6;7;0;1;1;1;7;8;8;8;16;6;1;2;0;6;
SDK SANG TIMUR YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403399;Swasta;SD;Yayasan;3309/YKST/SD/I/99;16/01/1999;769A/IMPS/SUBS/1970;27/07/1970;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SDKSANGTIMURYOGYAKARTA/BOSNAS...;-;-;-;-;;;Rita Setyaningsih;FRANSISKUS HENDRO WIBOWO;A;Kurikulum Merdeka;-;Jln. Batikan No 7 Yogyakarta;12-Mar;;Pandeyan;55161;-7;110;6;11;17;2;4;6;8;15;23;125;118;243;12;1;2;0;11;
SMP NEGERI 10 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403267;Negeri;SMP;Pemerintah Daerah;0487/10/1977;25/10/1977;-;01/01/1910;Tidak ada;BPD;SENOPATI;SMP N 10 YOGYAKARTA;-;-;-;-;;;Edy Thomas Suharta;Sigit Prawoto;A;Kurikulum Merdeka;-;Jl Tritunggal No 2 Yogyakarta;68 / 18;Nitikan;SOROSUTAN;55162;-7;110;16;27;43;9;3;12;25;30;55;337;361;698;19;1;5;1;21;
SMP IT ABU BAKAR YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403317;Swasta;SMP;Yayasan;1;18/03/2001;61b/I13/PP/Kpts/2001;01/01/1910;Tidak ada;BPD;cabang;SMP ISLAM TERPADU ABU BAKAR;-;-;-;-;;;Eko Budi Lestari;NAUFAL MUFID ZULHILMI;A;Kurikulum Merdeka;-;Jl. Veteran Gang Bekisar 716 Q;48 / 4;Kalangan;Pandeyan;55161;-7;110;36;37;73;13;6;19;49;43;92;552;460;1012;33;1;4;0;33;
SMP IT AL KHAIRAAT;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;69964897;Swasta;SMP;Yayasan;004/UH/2017;06/07/2017;188/587/;29/03/2017;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  PEMBANTU KOTAGEDE...;SMPITALKHAIRAAT/BOS...;-;-;-;-;;;Arif Kurniawan;;Tidak diisi;Kurikulum Merdeka;-;Jl.Veteran Gg.Madukoro Warungboto UH IV/ 768 C Umbulharjo Yogyakarta;29-Jul;WARUNGBOTO;Warungboto;55164;-7;110;3;7;10;2;3;5;5;10;15;14;9;23;3;0;0;0;3;
SMP IT BINA ANAK SHOLEH;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20404162;Swasta;SMP;Yayasan;026/B/KEP/YABIAS/III/2004;18/03/2004;188/1146;20/04/2004;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPITBINAANAKSHOLEHYOGYAKARTA/BOSNAS...;-;-;-;-;;;Bariyah;Hari Purwono;Tidak diisi;Kurikulum Merdeka;-;Jl. Mendungwarih 145 Mendungan Giwangan Umbulharjo Yogyakarta 5516;12-Apr;Mendungan;Giwangan;55163;-7;110;1;8;9;3;1;4;4;9;13;23;26;49;5;1;2;0;3;
SMP MUHAMMADIYAH 2 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403244;Swasta;SMP;Yayasan;214/B;31/10/1949;2913/M.588/DIY.43/77;01/09/1977;Tidak ada;BRI;Kusumanegara;SMP MUHAMMADIYAH 2 YOGYAKARTA;-;-;-;-;;;Naning Hidayati, M.Pd.;Agus Musthofa;A;Kurikulum Merdeka;-;Jl. Kapas II / 7a;0 / 0;Semaki;Semaki;55166;-7;110;26;25;51;12;9;21;38;34;72;448;429;877;27;2;6;0;27;
SMP MUHAMMADIYAH 8 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403240;Swasta;SMP;Yayasan;2919/M-594/DIY-75/77;01/01/1975;0393/H/1986;12/05/1986;Tidak ada;BPD;Senopati;SMP MUHAMMADIYAH 8 YK;-;-;-;-;;;Puji Astuti;;A;Kurikulum Merdeka;-;Jl. Kenari Miliran UH II/302;06-Feb;Miliran;Muja Muju;55163;-7;110;8;10;18;3;5;8;11;15;26;149;117;266;10;1;3;0;10;
SMP PANGUDI LUHUR 1 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20404166;Swasta;SMP;Yayasan;0391/H/1986;12/05/1986;0391/H/1986;12/05/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SMPPANGUDILUHURIYOGYAKARTA/BOSNAS...;-;-;-;-;;;Yustinus Tri Haryadi;Slamet Riyadi;A;Kurikulum Merdeka;-;Jl. Timoho II/29 Yogyakarta;01-Jan;Muja Muju;Muja Muju;55165;-7;110;18;23;41;10;4;14;28;27;55;388;366;754;23;1;5;0;23;
SMP PERINTIS YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403232;Swasta;SMP;Yayasan;106/I.13.I/181;07/01/1981;106/I.13.I/181;07/01/1981;C,K;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPPERINTISYOGYAKARTA/BOSNAS...;-;-;-;-;;;Sujarwanto;;B;Kurikulum Merdeka;-;Jl. P. Wirosobo 30;54 / 14;wirosaban;Sorosutan;55162;-7;110;2;4;6;4;0;4;6;4;10;19;9;28;3;1;2;0;3;
SMP PIRI 2 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403233;Swasta;SMP;Yayasan;0396/H/1986;12/05/1986;-;01/01/1910;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMPPIRI2YOGYAKARTA/BOSNAS...;-;-;-;-;;;ROHMAT ROMADHON;Rudi Mus Indriyani;A;Kurikulum Merdeka;-;Jl. Nalen No.1 Nitikan;32 / 9;Sorosutan;Sorosutan;55162;-7;110;2;5;7;2;1;3;4;6;10;22;17;39;6;1;3;0;3;
SMAN 8 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403161;Negeri;SMA;Pemerintah Daerah;17 Januari 1986;17/01/1986;17 Januari 1986;17/01/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SENOPATI...;SMAN8YOGYAKARTA...;-;-;-;-;;;Fadiyah Suryani;Anas Irfanuddin;A;Kurikulum Merdeka;-;JL. SIDOBALI NO.1;0 / 0;Balirejo;Muja Muju;55165;-7;110;17;27;44;13;8;21;30;35;65;340;522;862;24;2;6;0;24;
SMA BINA ANAK SHOLEH;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20409895;Swasta;SMA;Yayasan;188/dikmen/1860;18/05/2011;007/A/KEP/YABIAS/I/2009;06/01/2009;Tidak ada;BANK BPD DIY;Senopati;SMA BINA ANAK SHOLEH;-;-;-;-;;;Afrita Nur Rahmawati;Hamidah;Tidak diisi;Kurikulum Merdeka;-;JL. P. WIROSOBO SOROSUTAN 17A;64 / 14;Wirosaban;Sorosutan;55162;-7;110;2;8;10;3;3;6;5;11;16;24;28;52;3;1;5;0;3;
SMAS KATOLIK SANG TIMUR;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403143;Swasta;SMA;Yayasan;09/I.13.12/E.1985;07/01/1985;013/I13/H/Kpts/1989;16/01/1989;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG ( 056 )  KOTAGEDE...;SMASANGTIMURYOGYAKARTA/BOSDA...;-;-;-;-;;;Sr. Natalia, Pij, Mpd;Yoga Subarjo;A;Kurikulum Merdeka;-;JL. BATIKAN 7;12-Mar;Pandeyan;Pandeyan;55161;-7;110;3;13;16;4;3;7;7;16;23;65;56;121;9;1;5;0;5;
SMAS MUHAMMADIYAH 2 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403158;Swasta;SMA;Yayasan;0261/III.A/1.D/2000;30/09/2002;0261/III.A/1.D/2000;30/09/2002;Tidak ada;BANK BPD DIY CABANG;-;SMA Muhammadiyah 2 Yogyakarta;-;-;-;-;;;Retno Sumirat;MAHADI;A;Kurikulum Merdeka;-;JL. KAPAS NO. 7;26-Aug;-;Semaki;55166;-7;110;23;26;49;16;9;25;39;35;74;415;513;928;28;2;10;0;28;
SMAS PERAK;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403140;Swasta;SMA;Yayasan;0347/H/1986;01/07/1983;0347/H/1986;01/07/1983;Tidak ada;BRI;#NAME?;SMA PERAK YOGYAKARTA;-;-;-;-;;;Suyadi;Yudha Andri Riyanto;Tidak diisi;Kurikulum Merdeka;-;JL. VETERAN WARUNGBOTO UH IV/970;Jan-34;Warungboto;Warungboto;55163;-7;110;1;4;5;3;1;4;4;5;9;7;2;9;6;1;4;0;3;
SMAS SANTO THOMAS;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20404177;Swasta;SMA;Yayasan;359/YY/E/83;10/12/1983;#NAME?;29/05/1986;Tidak ada;BPD;#NAME?;SMA SANTO THOMAS;-;-;-;-;;;Suryantomo;Agus Haryadi, S.Pd;Tidak diisi;Kurikulum Merdeka;-;JL. TIMOHO BALIREJO UTARA;85 / 20;Balirejo;Muja Muju;55165;-7;110;2;1;3;1;0;1;3;1;4;5;3;8;5;1;4;0;3;
SMK SMTI YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20407427;Negeri;SMK;Pemerintah Pusat;77/M-IND/PER/8/2011;11/08/2011;77/M-IND/PER/8/2011;11/08/2011;Tidak ada;Bank BPD DIY;Senopati;Bendahara SMTI Yogyakarta;-;-;-;-;;;RR. Ening Kaekasiwi;R.A. Hastin Kusumaningrum;A;Kurikulum Merdeka;-;JL. KUSUMANEGARA NO. 3 YOGYAKARTA;25-Jul;Semaki;Semaki;55166;-7;110;22;41;63;15;16;31;37;57;94;785;317;1102;35;1;19;0;34;
SMKN 4 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403282;Negeri;SMK;Pemerintah Daerah;0311/O/1975;31/12/1975;421/3366/KP2TSP/2017;17/07/2017;Tidak ada;BPD;BPD SENOPATI;SMK NEGERI 4 YOGYAKARTA;-;-;-;-;;;Nurlatifah Hidayati;Eko Sulistio, SE;Tidak diisi;Kurikulum Merdeka;-;JL. SIDIKAN 60;34 / 9;Sorosutan;Sorosutan;55162;-7;110;20;79;99;13;14;27;33;93;126;289;1587;1876;31;2;5;0;54;
SMKN 5 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20403283;Negeri;SMK;Pemerintah Daerah;5622/8;;-;;Tidak ada;BPD;Senopati;SMK N 5 Yogyakarta;-;-;-;-;;;Sihono;Fajar Kurniawan;Tidak diisi;Kurikulum Merdeka;-;JL. KENARI 71 YOGYAKARTA;21-Jul;Balirejo;Muja Muju;55165;-7;110;38;41;79;13;8;21;51;49;100;970;450;1420;36;2;6;0;42;
SMKN 6 YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20404182;Negeri;SMK;Pemerintah Daerah;0290/0/1976;31/12/1975;0290/0/1976;01/01/1976;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  SENOPATI...;SMKNEGERI6YOGYAKARTA...;-;-;-;-;;;Mujari S.Pd;;Tidak diisi;Kurikulum Merdeka;-;JL. KENARI NO. 4;28-Aug;Semaki;Semaki;55166;-7;110;15;57;72;16;13;29;31;70;101;153;1224;1377;17;1;4;0;39;
SMKS BERBUDI YOGYAKARTA;Prov. D.I. Yogyakarta;Kota Yogyakarta;Kec. Umbulharjo;20409889;Swasta;SMK;Yayasan;188/Dikmen/1857;18/05/2011;188/Dikmen/1857;18/05/2011;Tidak ada;BPD DIY;SENOPATI;SMK BERBUDI;-;-;-;-;;;Agustri Andriyani;Ari Kurnia Widiyanti;Tidak diisi;Kurikulum Merdeka;-;JL. IMOGIRI TIMUR NO 210 YOGYAKARTA;33 / 11;GIWANGAN;Giwangan;55163;-7;110;2;7;9;4;2;6;6;9;15;25;56;81;9;1;3;0;8;
